situation,label,answer,ekman,complex
Clara receives a gift. Clara is most likely to feel?,A,Happy,happiness,Happy
"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",D,Sad,sadness,Sad
Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,B,Pride,happiness,Pride
An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,C,Relief,happiness,Relief
There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,B,Joy,happiness,Joy
Regret is most likely to occur when?,B,You have caused something you didn't want to happen and cannot change it.,sadness,Regret
"Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",B,Gratitude,happiness,Gratitude
"Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",B,Distressed,fear,Distressed
" If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",D,Hope,happiness,Hope
"Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",C,Contempt,anger,Contempt
Somebody is most likely to feel surprised after?,A,Something unexpected happens,surprise,Surprise
"Leya works as a trouble-shooter. She is presented with a standard looking problem but cannot 
work out how to solve it. Leya is most likely to feel?",B,Frustrated,anger,Frustrated
Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,C,Distressed,anger,Distressed
"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",B,Scared,fear,Scared
Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,A,Dislike,anger,Dislike
Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,D,Contempt,disgust,Contempt
Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,B,Sad,sadness,Sad
"If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",E,Hope,happiness,Hope
Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,D,Angry,anger,Angry
Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,D,She didn't make an offer on a house she liked and now someone else has bought it.,sadness,Regret
"Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",C,She found some results that were different from what she thought they would be.,surprise,Surprise
Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,E,Distressed,sadness,Distressed
Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,C,Gratitude,happiness,Gratitude
"Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",C,Joy,happiness,Joy
"By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",D,Pride,happiness,Pride
"An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",E,Relief,happiness,Relief
"Hasad tries to use his new mobile phone. He has always been able to work out how to use different appliances, but he cannot get the phone to function. Hasad is most likely to feel?",E,Frustrated,anger,Frustrated
Dorian's friend is ill and coughs all over him without bothering to turn away or cover his mouth. Dorian is most likely to feel?,B,Dislike,anger,Dislike
"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",A,Scared,fear,Scared
Quan and his wife are talking about what happened to them that day. Something happened that caused Quan to feel surprised. What is most likely to have happened?,E,His wife told a funny story.,surprise,Surprise
"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",D,Scared,fear,Scared
It is clear that somebody will get what they want. They are most likely to feel?,C,Joy,happiness,Joy
"By chance, a situation arises where there is the possibility that a person will get what they want. The person is most likely to feel?",B,Hope,happiness,Hope
"A supervisor who is unpleasant to work for leaves Alfonso's work. 
Alfonso is most likely to feel?",D,Relief,happiness,Relief
The nature of Sara's job changes due to unpredictable factors and she no longer gets to do the portions of her work that she most enjoyed. Sara is most likely to feel?,B,Sad,sadness,Sad
Leila has been unable to sleep well lately and there are no changes in her life that might indicate why. Leila is most likely to feel?,D,Distressed,fear,Distressed
A person feels they have control over a situation. The situation turns out badly for no particular reason. The person involved is most likely to feel?,D,Frustrated,fear,Frustrated
"Someone believes another person has deliberately caused something good to stop happening to them. However, they feel they can do something about it. They are most likely to feel?",A,Angry,anger,Angry
" The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",A,Contempt,anger,Contempt
"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",A,Contempt,anger,Contempt
"Pete gets home late, after his favourite TV show has ended. Pete's partner has taped the show for him. Pete is most likely to feel?
",E,Gratitude,happiness,Gratitude
Matthew has been at his current job for six months. Something happened that caused him to feel regret. What is most likely to have happened?,A,"He did not apply for a position he wanted, and has found out that someone else less qualified got the job.",sadness,Regret
Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,B,Pride,happiness,Pride
