pred,answer
Sad,Sad
Frustrated,Sad
Frustrated,Sad
Pride,Pride
Pride,Pride
Pride,Pride
Pride,Pride
Relief,Relief
Relief,Relief
Relief,Relief
Relief,Relief
Joy,Joy
Joy,Joy
Joy,Joy
Joy,Joy
Gratitude,Gratitude
Gratitude,Gratitude
Gratitude,Gratitude
Gratitude,Gratitude
Distressed,Distressed
Distressed,Distressed
Distressed,Distressed
Scared,Distressed
Hope,Hope
Hope,Hope
Joy,Hope
Joy,Hope
Anger,Contempt
Contempt,Contempt
Anger,Contempt
Anger,Contempt
Frustrated,Frustrated
Frustrated,Frustrated
Frustrated,Frustrated
Frustrated,Distressed
Frustrated,Distressed
Frustrated,Distressed
Distressed,Scared
Distressed,Scared
Distressed,Scared
Sad,Scared
Rage,Dislike
Rage,Dislike
Rage,Dislike
Rage,Dislike
Horror,Contempt
Contempt,Contempt
Anger,Contempt
Contempt,Contempt
Sad,Sad
Sad,Sad
Sad,Sad
Frustrated,Sad
Hope,Hope
Hope,Hope
Joy,Hope
Joy,Hope
Angry,Angry
Frustrated,Angry
Frustrated,Angry
Distressed,Distressed
Distressed,Distressed
Distressed,Distressed
Sad,Distressed
Gratitude,Gratitude
Gratitude,Gratitude
Gratitude,Gratitude
Gratitude,Gratitude
Joy,Joy
Joy,Joy
Joy,Joy
Joy,Joy
Pride,Pride
Pride,Pride
Pride,Pride
Pride,Pride
Relief,Relief
Relief,Relief
Relief,Relief
Relief,Relief
Frustrated,Frustrated
Frustrated,Frustrated
Frustrated,Frustrated
Frustrated,Frustrated
Dislike,Dislike
Dislike,Dislike
Dislike,Dislike
Rage,Dislike
Distressed,Scared
Distressed,Scared
Sad,Scared
Distressed,Scared
Distressed,Scared
Distressed,Scared
Distressed,Scared
Relief,Joy
Joy,Joy
Joy,Joy
Joy,Joy
Hope,Hope
Hope,Hope
Hope,Hope
Hope,Hope
Relief,Relief
Relief,Relief
Relief,Relief
Relief,Relief
Sad,Sad
Frustrated,Sad
Frustrated,Sad
Distressed,Distressed
Distressed,Distressed
Distressed,Distressed
Distressed,Distressed
Frustrated,Frustrated
Frustrated,Frustrated
Frustrated,Frustrated
Angry,Angry
Angry,Angry
Frustrated,Angry
Angry,Angry
Rage,Contempt
Dislike,Contempt
Rage,Contempt
Rage,Contempt
Anger,Contempt
Anger,Contempt
Contempt,Contempt
Anger,Contempt
Gratitude,Gratitude
Gratitude,Gratitude
Gratitude,Gratitude
Gratitude,Gratitude
Joy,Pride
Pride,Pride
Joy,Pride
