Instructions,situation,A,B,C,D,E,answer label,answer,pred,explanation,response,is_correct
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Clara receives a gift. Clara is most likely to feel?,Happy,Angry,Frightened,Bored,Hungry,A,Happy,A,"Receiving a gift is typically associated with positive emotions, such as happiness, as it is often seen as a gesture of kindness or appreciation.","Answer: A
Explanation: Receiving a gift is typically associated with positive emotions, such as happiness, as it is often seen as a gesture of kindness or appreciation.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",Ashamed,Distressed,Angry,Sad,Frustrated,D,Sad,E,"When a pleasant experience ceases unexpectedly and there is not much that can be done about it, the person involved is most likely to feel frustrated. This is because the sudden stoppage of something enjoyable can evoke feelings of discontent and irritation due to the lack of control over the situation.","Answer: E
Explanation: When a pleasant experience ceases unexpectedly and there is not much that can be done about it, the person involved is most likely to feel frustrated. This is because the sudden stoppage of something enjoyable can evoke feelings of discontent and irritation due to the lack of control over the situation.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,Surprise,Pride,Relief,Hope,Joy,B,Pride,B,"Completing a difficult task on time and under budget is a significant achievement, 
which would likely evoke feelings of pride in Xavier due to his accomplishment.","Answer: B
Explanation: Completing a difficult task on time and under budget is a significant achievement, 
which would likely evoke feelings of pride in Xavier due to his accomplishment.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,Regret,Hope,Relief,Sadness,Joy,C,Relief,C,"The departure of an irritating neighbour would likely bring a sense of relief to Eve, as it would mean an end to the annoyance or disturbance caused by that neighbour.","Answer: C
Explanation: The departure of an irritating neighbour would likely bring a sense of relief to Eve, as it would mean an end to the annoyance or disturbance caused by that neighbour.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,Pride,Joy,Relief,Guilt,Hope,B,Joy,B,"The great weather on the day of Jill's outdoor picnic is likely to enhance her overall experience, making her feel joyful.","Answer: B
Explanation: The great weather on the day of Jill's outdoor picnic is likely to enhance her overall experience, making her feel joyful.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Regret is most likely to occur when?,Events are unexpected.,You have caused something you didn't want to happen and cannot change it.,Circumstances have caused something you didn't want to happen.,You have caused something you didn't want to happen and are trying to change it.,Events are getting beyond your control.,B,You have caused something you didn't want to happen and cannot change it.,B,"Regret is most likely to occur when you have caused something you didn't want to happen and cannot change it. This is because regret involves a sense of responsibility for the outcome and a desire to undo what has been done, but being unable to do so."," 
Answer: B
Explanation: Regret is most likely to occur when you have caused something you didn't want to happen and cannot change it. This is because regret involves a sense of responsibility for the outcome and a desire to undo what has been done, but being unable to do so.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",Surprise,Gratitude,Pride,Hope,Relief,B,Gratitude,B,"Edna is most likely to feel gratitude towards her workmate for organizing a goodbye party, as it is a kind gesture and a sign of appreciation.","Answer: B
Explanation: Edna is most likely to feel gratitude towards her workmate for organizing a goodbye party, as it is a kind gesture and a sign of appreciation.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",Guilty,Distressed,Sad,Scared,Angry,B,Distressed,B,"When something unpleasant is happening and neither the person involved nor anyone else can stop it, the person is most likely to feel distressed. This is because distress is a state of anxiety or unease caused by a difficult or unpleasant situation, which fits the description given.","Answer: B
Explanation: When something unpleasant is happening and neither the person involved nor anyone else can stop it, the person is most likely to feel distressed. This is because distress is a state of anxiety or unease caused by a difficult or unpleasant situation, which fits the description given.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation."," If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",Distress,Joy,Surprise,Hope,Fear,D,Hope,B,"Denise really wants her job to be moved closer to her home, and if the current situation continues, that is likely to happen. This would be a positive outcome for Denise, so she is most likely to feel joy.","Answer: B
Explanation: Denise really wants her job to be moved closer to her home, and if the current situation continues, that is likely to happen. This would be a positive outcome for Denise, so she is most likely to feel joy.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",Anger,Excitement,Contempt,Shame,Horror,C,Contempt,A,"In the given situation, Song is most likely to feel anger because her friend 
has deceived others and misused the borrowed money for less serious purposes, 
which is a violation of trust and can be perceived as dishonest."," 

Answer: A
Explanation: In the given situation, Song is most likely to feel anger because her friend 
has deceived others and misused the borrowed money for less serious purposes, 
which is a violation of trust and can be perceived as dishonest.",0
