Instructions,situation,A,B,C,D,E,answer label,answer,pred,explanation,response,is_correct
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Clara receives a gift. Clara is most likely to feel?,Happy,Angry,Frightened,Bored,Hungry,A,Happy,A,"Receiving a gift usually evokes feelings of happiness and gratitude, as it is often associated with kindness and thoughtfulness from the giver.","Answer: A  
Explanation: Receiving a gift usually evokes feelings of happiness and gratitude, as it is often associated with kindness and thoughtfulness from the giver.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",Ashamed,Distressed,Angry,Sad,Frustrated,D,Sad,D,"When a pleasant experience ends unexpectedly, it often leads to feelings of loss and disappointment, which are encapsulated in sadness. The lack of ability to change the situation further reinforces this emotional response.","Answer: D  
Explanation: When a pleasant experience ends unexpectedly, it often leads to feelings of loss and disappointment, which are encapsulated in sadness. The lack of ability to change the situation further reinforces this emotional response.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,Surprise,Pride,Relief,Hope,Joy,B,Pride,B,"Completing a difficult task on time and under budget typically instills a sense of achievement and accomplishment, leading to feelings of pride in one's efforts and abilities.","Answer: B  
Explanation: Completing a difficult task on time and under budget typically instills a sense of achievement and accomplishment, leading to feelings of pride in one's efforts and abilities.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,Regret,Hope,Relief,Sadness,Joy,C,Relief,C,"In this situation, Eve is most likely to feel relief because the departure of an irritating neighbor can alleviate stress and provide a sense of peace in her environment.","Answer: C  
Explanation: In this situation, Eve is most likely to feel relief because the departure of an irritating neighbor can alleviate stress and provide a sense of peace in her environment.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,Pride,Joy,Relief,Guilt,Hope,B,Joy,B,"Great weather on the day of an outdoor picnic is likely to evoke feelings of happiness and excitement, making joy the most appropriate emotion for Jill in this situation.","Answer: B  
Explanation: Great weather on the day of an outdoor picnic is likely to evoke feelings of happiness and excitement, making joy the most appropriate emotion for Jill in this situation.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Regret is most likely to occur when?,Events are unexpected.,You have caused something you didn't want to happen and cannot change it.,Circumstances have caused something you didn't want to happen.,You have caused something you didn't want to happen and are trying to change it.,Events are getting beyond your control.,B,You have caused something you didn't want to happen and cannot change it.,B,"Regret is most likely to occur when a person has caused something they didn't want to happen and cannot change it. This situation highlights the internal conflict and remorse typically associated with regret, as one reflects on the consequences of their actions that led to an undesirable outcome.","Answer: B  
Explanation: Regret is most likely to occur when a person has caused something they didn't want to happen and cannot change it. This situation highlights the internal conflict and remorse typically associated with regret, as one reflects on the consequences of their actions that led to an undesirable outcome.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",Surprise,Gratitude,Pride,Hope,Relief,B,Gratitude,B,"In this situation, Edna is likely to feel gratitude as her workmate has organized a goodbye party for her, showing thoughtfulness and appreciation for her presence at work.","Answer: B  
Explanation: In this situation, Edna is likely to feel gratitude as her workmate has organized a goodbye party for her, showing thoughtfulness and appreciation for her presence at work.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",Guilty,Distressed,Sad,Scared,Angry,B,Distressed,B,"In the given situation, something unpleasant is happening and cannot be stopped, which would likely lead to feelings of distress due to the helplessness and discomfort associated with such an experience.","Answer: B  
Explanation: In the given situation, something unpleasant is happening and cannot be stopped, which would likely lead to feelings of distress due to the helplessness and discomfort associated with such an experience.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation."," If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",Distress,Joy,Surprise,Hope,Fear,D,Hope,D,"Given that Denise is hopeful about the potential move of her job closer to her home, she is most likely to feel hope. This emotion reflects her positive anticipation for a desired outcome.","Answer: D  
Explanation: Given that Denise is hopeful about the potential move of her job closer to her home, she is most likely to feel hope. This emotion reflects her positive anticipation for a desired outcome.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",Anger,Excitement,Contempt,Shame,Horror,C,Contempt,C,"In this situation, Song is likely to feel contempt for her friend who borrowed money under pretenses and didn't use it for the intended serious reasons. Contempt reflects a feeling of disdain or a lack of respect when one feels that another has acted in a morally questionable or dishonest manner.","Answer: C  
Explanation: In this situation, Song is likely to feel contempt for her friend who borrowed money under pretenses and didn't use it for the intended serious reasons. Contempt reflects a feeling of disdain or a lack of respect when one feels that another has acted in a morally questionable or dishonest manner.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Somebody is most likely to feel surprised after?,Something unexpected happens,Something unfamiliar happens.,Something unusual happens.,Something scary happens.,Something silly happens.,A,Something unexpected happens,A,"The emotion of surprise is most commonly triggered when something unexpected happens, leading to a sudden reaction or feeling of astonishment.","Answer: A  
Explanation: The emotion of surprise is most commonly triggered when something unexpected happens, leading to a sudden reaction or feeling of astonishment.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Leya works as a trouble-shooter. She is presented with a standard looking problem but cannot 
work out how to solve it. Leya is most likely to feel?",Confused,Frustrated,Surprised,Relieved,Distressed,B,Frustrated,B,"In this situation, Leya, as a trouble-shooter, faces a problem that she cannot solve, which likely leads to feelings of frustration due to her inability to resolve what is expected to be a standard issue.","Answer: B  
Explanation: In this situation, Leya, as a trouble-shooter, faces a problem that she cannot solve, which likely leads to feelings of frustration due to her inability to resolve what is expected to be a standard issue.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,Depressed,Frustrated,Angry,Contemptuous,Distressed,C,Distressed,B,"In this situation, Charles is likely to feel frustrated because he was looking forward to seeing the movie, and his friend's lateness caused them to miss it. Frustration arises from the inability to achieve a desired outcome, in this case, attending the movie on time.","Answer: B  
Explanation: In this situation, Charles is likely to feel frustrated because he was looking forward to seeing the movie, and his friend's lateness caused them to miss it. Frustration arises from the inability to achieve a desired outcome, in this case, attending the movie on time.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",Irritated,Scared,Distressed,Sad,Hopeful,B,Scared,C,"In this situation, Rashid is facing significant pressure and an uncertain outcome regarding his ability to meet a quota before a performance review. The sense that there is little he can do to improve the situation can lead to feelings of distress due to the stress and anxiety associated with potentially not meeting expectations.","Answer: C  
Explanation: In this situation, Rashid is facing significant pressure and an uncertain outcome regarding his ability to meet a quota before a performance review. The sense that there is little he can do to improve the situation can lead to feelings of distress due to the stress and anxiety associated with potentially not meeting expectations.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,Dislike,Rage,Jealousy,Surprise,Anxiety,A,Dislike,B,"In this situation, the belief that someone has harmed them intentionally, combined with the feeling of helplessness in improving the situation, is likely to evoke feelings of rage. The person may feel anger towards the individual believed to have caused harm and frustration about the inability to change the circumstances.","Answer: B  
Explanation: In this situation, the belief that someone has harmed them intentionally, combined with the feeling of helplessness in improving the situation, is likely to evoke feelings of rage. The person may feel anger towards the individual believed to have caused harm and frustration about the inability to change the circumstances.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,Excitement,Anger,Horror,Contempt,Shame,D,Contempt,D,"In the given situation, Phil is likely to feel contempt towards Bart for asking him to lie and for stealing from the company. Contempt often arises when someone perceives another's actions as morally wrong or despicable, which is the case here.","Answer: D  
Explanation: In the given situation, Phil is likely to feel contempt towards Bart for asking him to lie and for stealing from the company. Contempt often arises when someone perceives another's actions as morally wrong or despicable, which is the case here.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,Angry,Sad,Frustrated,Distressed,Ashamed,B,Sad,B,"Jim is likely to feel sad because the change in his routine means he cannot enjoy quality time playing with his children in the park, which he values. The emotional loss of this cherished activity would naturally lead to feelings of sadness.","Answer: B  
Explanation: Jim is likely to feel sad because the change in his routine means he cannot enjoy quality time playing with his children in the park, which he values. The emotional loss of this cherished activity would naturally lead to feelings of sadness.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",Distress,Fear,Surprise,Joy,Hope,E,Hope,E,"In the situation, Derek is anticipating a positive outcome regarding his house's value. This anticipation suggests that he is feeling hopeful about the future increase in value, which aligns with the feeling of hope.","Answer: E  
Explanation: In the situation, Derek is anticipating a positive outcome regarding his house's value. This anticipation suggests that he is feeling hopeful about the future increase in value, which aligns with the feeling of hope.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,Depressed,Contemptuous,Frustrated,Angry,Distressed,D,Angry,D,"In this situation, Sheila's workmate's intentional withholding of important information is likely to make Sheila feel angry, as it suggests a lack of support or unfair treatment in a professional context.","Answer: D  
Explanation: In this situation, Sheila's workmate's intentional withholding of important information is likely to make Sheila feel angry, as it suggests a lack of support or unfair treatment in a professional context.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,"She didn't make an offer on a house she wanted, and now she is trying to find out if it is
too late. ",She found a house she liked that she didn't think she would find.,"She couldn't make an offer on a house she liked because the bank didn't get her the money
in time.",She didn't make an offer on a house she liked and now someone else has bought it.,She made an offer on a house and is waiting to see if it is accepted.,D,She didn't make an offer on a house she liked and now someone else has bought it.,D,"Megan feeling regret suggests that she has likely missed an opportunity related to the house-buying process. The most fitting scenario is that she did not make an offer on a house she liked, and now someone else has purchased it, causing her feelings of regret for not acting sooner.","Answer: D  
Explanation: Megan feeling regret suggests that she has likely missed an opportunity related to the house-buying process. The most fitting scenario is that she did not make an offer on a house she liked, and now someone else has purchased it, causing her feelings of regret for not acting sooner.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",Her work-mate told a silly joke.,She was working on a new task she hadn't dealt with before.,She found some results that were different from what she thought they would be.,She realised she would not be able to complete her work.,She had to do a task she didn't normally do at work.,C,She found some results that were different from what she thought they would be.,C,"Finding results that were different from what she thought they would be would be a surprising event, leading to her feeling surprised. This stands out as it is directly related to her expectations being challenged, which is a common trigger for surprise.","Answer: C  
Explanation: Finding results that were different from what she thought they would be would be a surprising event, leading to her feeling surprised. This stands out as it is directly related to her expectations being challenged, which is a common trigger for surprise.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,Scared,Angry,Sad,Guilty,Distressed,E,Distressed,E,"In this situation, Garry is facing uncertainty and frustration due to the decline in clients and his inability to identify the cause or find a solution, which is likely to create feelings of distress.","Answer: E  
Explanation: In this situation, Garry is facing uncertainty and frustration due to the decline in clients and his inability to identify the cause or find a solution, which is likely to create feelings of distress.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,Hope,Pride,Gratitude,Surprise,Relief,C,Gratitude,C,"If someone believes that another person has intentionally done something beneficial for them, they are likely to feel gratitude towards that individual for their kindness or help.","Answer: C  
Explanation: If someone believes that another person has intentionally done something beneficial for them, they are likely to feel gratitude towards that individual for their kindness or help.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",Pride,Relief,Joy,Hope,Guilt,C,Joy,C,"In this situation, Kevin is likely to feel joy as the unexpected promotion is a positive development in his career, likely bringing feelings of happiness and excitement about his achievement and future opportunities.","Answer: C  
Explanation: In this situation, Kevin is likely to feel joy as the unexpected promotion is a positive development in his career, likely bringing feelings of happiness and excitement about his achievement and future opportunities.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",Joy,Hope,Relief,Pride,Surprise,D,Pride,D,"Reaching a desired goal through one's own efforts often leads to a sense of pride in one's accomplishments and abilities, making it the most fitting emotion in this situation.","Answer: D  
Explanation: Reaching a desired goal through one's own efforts often leads to a sense of pride in one's accomplishments and abilities, making it the most fitting emotion in this situation.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",Regret,Hope,Joy,Sadness,Relief,E,Relief,E,"When an unwanted situation becomes less likely or stops altogether, the person involved is most likely to feel relief, as they are escaping from a previously distressing or negative circumstance.","Answer: E  
Explanation: When an unwanted situation becomes less likely or stops altogether, the person involved is most likely to feel relief, as they are escaping from a previously distressing or negative circumstance.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Hasad tries to use his new mobile phone. He has always been able to work out how to use different appliances, but he cannot get the phone to function. Hasad is most likely to feel?",Distressed,Confused,Surprised,Relieved,Frustrated,E,Frustrated,E,"In this situation, Hasad is likely to feel frustrated because he is experiencing difficulty with a new mobile phone, which contrasts with his usual ability to work out how to use different appliances. This inability to resolve the issue would naturally lead to feelings of frustration.","Answer: E  
Explanation: In this situation, Hasad is likely to feel frustrated because he is experiencing difficulty with a new mobile phone, which contrasts with his usual ability to work out how to use different appliances. This inability to resolve the issue would naturally lead to feelings of frustration.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Dorian's friend is ill and coughs all over him without bothering to turn away or cover his mouth. Dorian is most likely to feel?,Anxiety,Dislike,Surprise,Jealousy,Rage,B,Dislike,B,"In this situation, Dorian's friend's behavior of coughing all over him without consideration would likely lead Dorian to feel dislike. He may find the lack of care for hygiene and personal space unpleasant, resulting in a negative emotional response.","Answer: B  
Explanation: In this situation, Dorian's friend's behavior of coughing all over him without consideration would likely lead Dorian to feel dislike. He may find the lack of care for hygiene and personal space unpleasant, resulting in a negative emotional response.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",Scared,Distressed,Irritated,Sad,Hopeful,A,Scared,B,"In this situation, Tina is facing a serious health threat after taking precautions and realizing that her efforts were not effective. The overwhelming uncertainty and helplessness likely lead her to feel distressed.","Answer: B  
Explanation: In this situation, Tina is facing a serious health threat after taking precautions and realizing that her efforts were not effective. The overwhelming uncertainty and helplessness likely lead her to feel distressed.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Quan and his wife are talking about what happened to them that day. Something happened that caused Quan to feel surprised. What is most likely to have happened?,"His wife talked a lot, which did not usually happen.",His wife talked about things that were different to what they usually discussed.,His wife told him that she might have some bad news.,His wife told Quan some news that was not what he thought it would be.,His wife told a funny story.,E,His wife told a funny story.,D,"The situation indicates that Quan felt surprised, which usually happens when someone receives unexpected information. His wife's news being different from what he thought it would be aligns well with the emotion of surprise.","Answer: D  
Explanation: The situation indicates that Quan felt surprised, which usually happens when someone receives unexpected information. His wife's news being different from what he thought it would be aligns well with the emotion of surprise.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",Sad,Irritated,Distressed,Scared,Hopeful,D,Scared,C,"In the given situation, the individual is facing an upcoming event that could lead to negative outcomes and feels powerless to change it. This sense of vulnerability and helplessness often leads to feelings of distress.","Answer: C  
Explanation: In the given situation, the individual is facing an upcoming event that could lead to negative outcomes and feels powerless to change it. This sense of vulnerability and helplessness often leads to feelings of distress.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",It is clear that somebody will get what they want. They are most likely to feel?,Pride,Relief,Joy,Hope,Guilt,C,Joy,C,"If it is clear that somebody will get what they want, they are most likely to feel joy, as achieving one's desires often leads to happiness and excitement.","Answer: C  
Explanation: If it is clear that somebody will get what they want, they are most likely to feel joy, as achieving one's desires often leads to happiness and excitement.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","By chance, a situation arises where there is the possibility that a person will get what they want. The person is most likely to feel?",Distress,Hope,Surprise,Joy,Fear,B,Hope,B,"When a person encounters a situation where there is a possibility of obtaining what they desire, it typically elicits feelings of hope, as they anticipate the potential for a positive outcome.","Answer: B  
Explanation: When a person encounters a situation where there is a possibility of obtaining what they desire, it typically elicits feelings of hope, as they anticipate the potential for a positive outcome.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","A supervisor who is unpleasant to work for leaves Alfonso's work. 
Alfonso is most likely to feel?",Joy,Hope,Regret,Relief,Sadness,D,Relief,D,"With the unpleasant supervisor leaving, Alfonso is likely to feel relief as it suggests an end to a difficult situation and the potential for a more positive work environment.","Answer: D  
Explanation: With the unpleasant supervisor leaving, Alfonso is likely to feel relief as it suggests an end to a difficult situation and the potential for a more positive work environment.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",The nature of Sara's job changes due to unpredictable factors and she no longer gets to do the portions of her work that she most enjoyed. Sara is most likely to feel?,Ashamed,Sad,Angry,Distressed,Frustrated,B,Sad,B,"Given that Sara's job has changed in a way that removes the parts she enjoyed, it is likely that she would feel sad about losing those enjoyable aspects of her work.","Answer: B  
Explanation: Given that Sara's job has changed in a way that removes the parts she enjoyed, it is likely that she would feel sad about losing those enjoyable aspects of her work.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Leila has been unable to sleep well lately and there are no changes in her life that might indicate why. Leila is most likely to feel?,Angry,Scared,Sad,Distressed,Guilty,D,Distressed,D,"Leila's inability to sleep well, especially without any apparent reason, is likely to cause her distress. It can lead to feelings of unease and discomfort, making ""distressed"" the most fitting emotion in this situation.","Answer: D  
Explanation: Leila's inability to sleep well, especially without any apparent reason, is likely to cause her distress. It can lead to feelings of unease and discomfort, making ""distressed"" the most fitting emotion in this situation.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",A person feels they have control over a situation. The situation turns out badly for no particular reason. The person involved is most likely to feel?,Confused,Relieved,Surprised,Frustrated,Distressed,D,Frustrated,D,"In the given situation, the person believed they had control, but the unexpected negative outcome leads to feelings of frustration, as they may feel their efforts were wasted or that they were unable to influence the outcome as they had expected.","Answer: D  
Explanation: In the given situation, the person believed they had control, but the unexpected negative outcome leads to feelings of frustration, as they may feel their efforts were wasted or that they were unable to influence the outcome as they had expected.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Someone believes another person has deliberately caused something good to stop happening to them. However, they feel they can do something about it. They are most likely to feel?",Angry,Contemptuous,Distress,Depressed,Frustrated,A,Angry,A,"In this situation, the person feels that someone has intentionally interfered with something positive in their life. Since they believe they can take action to address this issue, it is natural for them to feel angry at the perceived wrongdoing.","Answer: A  
Explanation: In this situation, the person feels that someone has intentionally interfered with something positive in their life. Since they believe they can take action to address this issue, it is natural for them to feel angry at the perceived wrongdoing.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation."," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",Dislike,Rage,Jealousy,Surprise,Anxiety,A,Contempt,A,"Enid is likely to feel dislike towards the new manager's decision to change everyone's work hours to a less flexible pattern without any room for discussion, as it can be perceived as an imposition and disregard for her preferences or needs.","Answer: A  
Explanation: Enid is likely to feel dislike towards the new manager's decision to change everyone's work hours to a less flexible pattern without any room for discussion, as it can be perceived as an imposition and disregard for her preferences or needs.",1
