Instructions,Question
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,Expressing my emotions with words is not a problem for me. 
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I often find it difficult to see things from another person’s viewpoint
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,"On the whole, I’m a highly motivated person."
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I usually find it difficult to regulate my emotions
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I generally don’t find life enjoyable. 
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I can deal effectively with people. 
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I tend to change my mind frequently. 
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,"Many times, I can’t figure out what emotion I'm feeling. "
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I feel that I have a number of good qualities. 
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I often find it difficult to stand up for my rights.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I’m usually able to influence the way other people feel. 
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,"On the whole, I have a gloomy perspective on most things. "
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,Those close to me often complain that I don’t treat them right. 
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I often find it difficult to adjust my life according to the circumstances.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,"On the whole, I’m able to deal with stress."
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I would describe myself as a good negotiator.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I tend to get involved in things I later wish I could get out of.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I often pause and think about my feelings.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I believe I’m full of personal strengths.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I tend to “back down” even if I know I’m right.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I don’t seem to have any power at all over other people’s feelings.
Please answer each statement below by putting a circle around the number that best reflects your degree of agreement or disagreement with that statement. Do not think too long about the exact meaning of the statements. Work quickly and try to answer as accurately as possible. There are no right or wrong answers. There are seven possible responses to each statement ranging from ‘Completely Disagree’ (number 1) to ‘Completely Agree’ (number 7).,I generally believe that things will work out fine in my life.
